k,coordinates,cluster_id,mse,center,radius
1,"[1.13, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.3694470014108624
1,"[2.8, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.4004118420058327
1,"[2.04, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5770982784643668
1,"[1.45, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1811218294264618
1,"[2.23, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6074065662569231
1,"[1.91, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5916747843685045
1,"[1.7, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0780937022586083
1,"[3.49, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.560134129310012
1,"[1.9, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5939609080246256
1,"[2.6, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.803774765706742
1,"[1.37, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8487821936283142
1,"[2.1, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5801546036902632
1,"[2.4, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6799000441721997
1,"[2.63, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.352159790045842
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.9, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.4339005553232074
1,"[1.86, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6046747881937232
1,"[1.96, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5826890263578922
1,"[2.4, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6799000441721997
1,"[1.27, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.2806396653306895
