Company,Product,TypeName,Inches,Ram,OS,Weight,Price,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,cluster
Apple,Macbook Air,Ultrabook,0.385542168674699,0.0967741935483871,macOS,0.1620947630922693,0.1223527426160337,Standard,0.0299110751818916,0.0948275862068965,No,No,No,Intel,0.3333333333333333,Core i5,0.0588235294117647,0.0,Flash Storage,No,Intel,HD Graphics 6000,0
HP,250 G6,Notebook,0.6626506024096387,0.0967741935483871,No OS,0.2917705735660848,0.0676793248945147,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.1215686274509803,0.0,SSD,No,Intel,HD Graphics 620,1
Acer,Aspire 3,Notebook,0.6626506024096387,0.032258064516129,Windows 10,0.3516209476309227,0.0381434599156118,Standard,0.0,0.0,No,No,No,AMD,0.7777777777777778,A9-Series 9420,0.2411764705882353,0.0,HDD,No,AMD,Radeon R5,1
Apple,Macbook Air,Ultrabook,0.385542168674699,0.0967741935483871,macOS,0.1620947630922693,0.1661940928270042,Standard,0.0299110751818916,0.0948275862068965,No,No,No,Intel,0.3333333333333333,Core i5,0.1215686274509803,0.0,Flash Storage,No,Intel,HD Graphics 6000,0
Acer,Swift 3,Ultrabook,0.4698795180722893,0.0967741935483871,Windows 10,0.2269326683291771,0.100590717299578,Full HD,0.2239288601455133,0.2241379310344827,No,Yes,No,Intel,0.2592592592592592,Core i5 8250U,0.1215686274509803,0.0,SSD,No,Intel,UHD Graphics 620,2
HP,250 G6,Notebook,0.6626506024096387,0.032258064516129,No OS,0.2917705735660848,0.0371139240506329,Standard,0.0,0.0,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.2411764705882353,0.0,HDD,No,Intel,HD Graphics 620,1
HP,250 G6,Notebook,0.6626506024096387,0.032258064516129,No OS,0.2917705735660848,0.0288590717299578,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.4074074074074074,Core i3 6006U,0.2411764705882353,0.0,HDD,No,Intel,HD Graphics 520,1
Dell,Inspiron 3567,Notebook,0.6626506024096387,0.032258064516129,Windows 10,0.3765586034912719,0.0548354430379746,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.4074074074074074,Core i3 6006U,0.1215686274509803,0.0,SSD,No,AMD,Radeon R5 M430,1
Apple,"MacBook 12""",Ultrabook,0.2289156626506024,0.0967741935483871,macOS,0.057356608478803,0.1836962025316456,Standard,0.3791430881164107,0.4827586206896552,No,Yes,Yes,Intel,0.111111111111111,Core M m3,0.1215686274509803,0.0,SSD,No,Intel,HD Graphics 615,0
Dell,Inspiron 3567,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3765586034912719,0.0963713080168776,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.6666666666666667,Core i7 7500U,0.1215686274509803,0.0,SSD,No,AMD,Radeon R5 M430,1
Dell,XPS 13,Ultrabook,0.385542168674699,0.0967741935483871,Windows 10,0.1321695760598503,0.1358649789029536,Full HD,0.2239288601455133,0.2241379310344827,Yes,Yes,No,Intel,0.2592592592592592,Core i5 8250U,0.0588235294117647,0.0,SSD,No,Intel,UHD Graphics 620,0
HP,255 G6,Notebook,0.6626506024096387,0.032258064516129,No OS,0.2917705735660848,0.0141772151898734,Standard,0.0,0.0,No,No,No,AMD,0.2222222222222222,E-Series E2-9000e,0.2411764705882353,0.0,HDD,No,AMD,Radeon R2,1
Dell,Inspiron 5379,2 in 1 Convertible,0.385542168674699,0.0967741935483871,Windows 10,0.2319201995012469,0.1088607594936708,Full HD,0.2239288601455133,0.2241379310344827,Yes,No,No,Intel,0.2592592592592592,Core i5 8250U,0.1215686274509803,0.0,SSD,No,Intel,UHD Graphics 620,0
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,0.6626506024096387,0.0967741935483871,Windows 10,0.3042394014962594,0.0818565400843881,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.3333333333333333,Core i7 8550U,0.1215686274509803,0.0,SSD,No,Intel,HD Graphics 620,1
Apple,MacBook Air,Ultrabook,0.385542168674699,0.0967741935483871,Mac OS X,0.1645885286783042,0.1561181434599156,Standard,0.0299110751818916,0.0948275862068965,No,No,No,Intel,0.2592592592592592,Core i5,0.0588235294117647,0.0,Flash Storage,No,Intel,HD Graphics 6000,0
Dell,Inspiron 5570,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3765586034912719,0.1056540084388185,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.2592592592592592,Core i5 8250U,0.1215686274509803,0.0,SSD,No,AMD,Radeon 530,1
Chuwi,"LapBook 15.6""",Notebook,0.6626506024096387,0.032258064516129,Windows 10,0.2992518703241895,0.0119814345991561,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.1999999999999999,Atom x5-Z8300,0.0274509803921568,0.0,Flash Storage,No,Intel,HD Graphics,1
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,0.4698795180722893,0.0,Windows 10,0.2394014962593516,0.0042194092827004,Standard,0.0,0.0,No,No,No,AMD,0.2222222222222222,E-Series E2-6110,0.0117647058823529,0.0,Flash Storage,No,AMD,Radeon R2,2
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,0.8674698795180725,0.032258064516129,Windows 10,0.5037406483790524,0.0447257383966244,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,AMD,0.5925925925925926,A6-Series 9220,0.2411764705882353,0.0,HDD,No,AMD,Radeon 530,1
Apple,MacBook Air,Ultrabook,0.385542168674699,0.0967741935483871,Mac OS X,0.1645885286783042,0.1390717299578059,Standard,0.0299110751818916,0.0948275862068965,No,No,No,Intel,0.2592592592592592,Core i5,0.1215686274509803,0.0,Flash Storage,No,Intel,HD Graphics 6000,0
HP,ProBook 450,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3516209476309227,0.1189873417721519,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.2592592592592592,Core i5 8250U,0.1215686274509803,0.0,SSD,No,Nvidia,GeForce 930MX ,1
Acer,Aspire A515-51G,Notebook,0.6626506024096387,0.032258064516129,Windows 10,0.3765586034912719,0.0857383966244725,Full HD,0.2239288601455133,0.2241379310344827,No,Yes,No,Intel,0.2592592592592592,Core i5 8250U,0.1215686274509803,0.0,SSD,No,Intel,UHD Graphics 620,1
Lenovo,IdeaPad 320-15ISK,Notebook,0.6626506024096387,0.032258064516129,No OS,0.3765586034912719,0.0329113924050632,Standard,0.0,0.0,No,No,No,Intel,0.4074074074074074,Core i3 6006U,0.0588235294117647,0.0,SSD,No,Intel,HD Graphics 520,1
Dell,Inspiron 3567,Notebook,0.6626506024096387,0.032258064516129,Windows 10,0.4014962593516209,0.0784810126582278,Full HD,0.2239288601455133,0.2241379310344827,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.1215686274509803,0.0,SSD,No,AMD,Radeon R5 M430,1
Acer,Aspire A515-51G,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3765586034912719,0.1125738396624472,Full HD,0.2239288601455133,0.2241379310344827,No,Yes,No,Intel,0.3333333333333333,Core i7 8550U,0.1215686274509803,0.0,SSD,No,Nvidia,GeForce MX150,1
