Company,Product,TypeName,Inches,Ram,OS,Weight,Price,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model
Apple,Macbook Air,Ultrabook,0.385542168674699,0.0967741935483871,macOS,0.16209476309226936,0.12235274261603377,Standard,0.029911075181891674,0.09482758620689655,No,No,No,Intel,0.3333333333333333,Core i5,0.058823529411764705,0.0,Flash Storage,No,Intel,HD Graphics 6000
HP,250 G6,Notebook,0.6626506024096387,0.0967741935483871,No OS,0.2917705735660848,0.06767932489451477,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 620
Acer,Aspire 3,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3516209476309227,0.03814345991561181,Standard,0.0,0.0,No,No,No,AMD,0.7777777777777778,A9-Series 9420,0.2411764705882353,0.0,HDD,No,AMD,Radeon R5
Apple,Macbook Air,Ultrabook,0.385542168674699,0.0967741935483871,macOS,0.16209476309226936,0.16619409282700423,Standard,0.029911075181891674,0.09482758620689655,No,No,No,Intel,0.3333333333333333,Core i5,0.12156862745098039,0.0,Flash Storage,No,Intel,HD Graphics 6000
Acer,Swift 3,Ultrabook,0.4698795180722893,0.0967741935483871,Windows 10,0.2269326683291771,0.10059071729957805,Full HD,0.22392886014551333,0.22413793103448276,No,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
HP,250 G6,Notebook,0.6626506024096387,0.03225806451612903,No OS,0.2917705735660848,0.03711392405063291,Standard,0.0,0.0,No,No,No,Intel,0.5925925925925926,Core i5 7200U,0.2411764705882353,0.0,HDD,No,Intel,HD Graphics 620
HP,250 G6,Notebook,0.6626506024096387,0.03225806451612903,No OS,0.2917705735660848,0.028859071729957806,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.40740740740740744,Core i3 6006U,0.2411764705882353,0.0,HDD,No,Intel,HD Graphics 520
Dell,Inspiron 3567,Notebook,0.6626506024096387,0.03225806451612903,Windows 10,0.3765586034912719,0.05483544303797468,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.40740740740740744,Core i3 6006U,0.12156862745098039,0.0,SSD,No,AMD,Radeon R5 M430
Apple,"MacBook 12""",Ultrabook,0.22891566265060248,0.0967741935483871,macOS,0.05735660847880302,0.1836962025316456,Standard,0.3791430881164107,0.4827586206896552,No,Yes,Yes,Intel,0.11111111111111108,Core M m3,0.12156862745098039,0.0,SSD,No,Intel,HD Graphics 615
Dell,Inspiron 3567,Notebook,0.6626506024096387,0.0967741935483871,Windows 10,0.3765586034912719,0.09637130801687764,Full HD,0.22392886014551333,0.22413793103448276,No,No,No,Intel,0.6666666666666667,Core i7 7500U,0.12156862745098039,0.0,SSD,No,AMD,Radeon R5 M430
Dell,XPS 13,Ultrabook,0.385542168674699,0.0967741935483871,Windows 10,0.13216957605985039,0.1358649789029536,Full HD,0.22392886014551333,0.22413793103448276,Yes,Yes,No,Intel,0.25925925925925924,Core i5 8250U,0.058823529411764705,0.0,SSD,No,Intel,UHD Graphics 620
HP,255 G6,Notebook,0.6626506024096387,0.03225806451612903,No OS,0.2917705735660848,0.014177215189873417,Standard,0.0,0.0,No,No,No,AMD,0.2222222222222222,E-Series E2-9000e,0.2411764705882353,0.0,HDD,No,AMD,Radeon R2
Dell,Inspiron 5379,2 in 1 Convertible,0.385542168674699,0.0967741935483871,Windows 10,0.23192019950124693,0.10886075949367088,Full HD,0.22392886014551333,0.22413793103448276,Yes,No,No,Intel,0.25925925925925924,Core i5 8250U,0.12156862745098039,0.0,SSD,No,Intel,UHD Graphics 620
