Company,Model,Laptop,Screen Size,RAM,OS,Weight,Screen,Screen Width,Screen Height,CPU Company,CPU Frequency,CPU Model,Primary Storage,Secondary Storage,Primary Storage Type,GPU Company,GPU Model,Price
6,58,3,15.6,4,7,1.88,3,1366,768,1,2.3,29,500,0,1,2,41,1109.08
4,22,1,15.6,16,5,3.21,1,1920,1080,1,2.5,34,128,1024,3,3,16,2440.69
8,281,3,15.6,8,5,2.05,1,1920,1080,1,1.8,54,256,0,3,2,80,1047.2
0,34,3,15.6,4,5,2.23,1,1920,1080,1,2.5,33,256,0,3,3,10,822.29
8,106,3,15.6,8,4,2.2,3,1366,768,1,2.0,24,256,0,3,3,6,593.81
8,104,3,15.6,8,4,2.2,1,1920,1080,1,2.7,47,1024,0,1,3,10,784.22
4,289,3,15.6,4,5,2.18,3,1366,768,1,2.0,24,1024,0,1,2,41,664.73
8,154,1,15.6,16,4,2.4,1,1920,1080,1,2.8,50,512,0,3,3,16,1663.62
6,170,1,17.3,8,5,2.75,1,1920,1080,1,2.3,31,128,1024,3,3,27,1664.81
6,230,3,14.0,2,5,1.44,3,1366,768,1,1.6,14,32,0,0,2,35,332.01
8,106,3,15.6,4,4,2.2,3,1366,768,1,2.0,24,128,0,3,2,41,439.11
2,211,1,15.6,16,5,2.1,1,1920,1080,1,2.8,50,128,1024,3,3,16,2259.81
8,239,3,13.3,8,5,1.4,1,1920,1080,1,2.4,26,256,0,3,2,45,1129.31
4,152,3,14.0,8,5,1.36,1,1920,1080,1,2.6,35,256,0,3,2,45,1698.13
2,214,1,17.3,16,5,2.9,1,1920,1080,1,2.8,50,256,1024,3,3,17,2525.18
0,26,3,15.6,8,5,2.2,3,1366,768,0,2.7,2,256,0,3,0,77,784.21
2,143,3,15.6,4,5,1.86,3,1366,768,1,1.1,15,128,0,3,2,37,498.61
0,30,3,15.6,8,5,3.0,1,1920,1080,1,1.8,54,256,0,3,3,33,1131.69
8,105,3,15.6,8,4,2.2,1,1920,1080,1,2.5,33,256,0,3,3,10,748.51
8,268,3,15.6,4,5,2.1,3,1366,768,1,2.0,24,128,0,3,2,41,510.51
4,134,1,15.6,8,5,2.62,1,1920,1080,1,2.5,34,256,0,3,3,13,1172.15
0,33,3,15.6,6,5,2.23,3,1366,768,1,2.5,33,1024,0,1,2,45,653.31
6,57,4,14.0,4,5,1.48,1,1920,1080,1,2.7,37,256,0,3,2,45,1287.58
2,213,1,17.3,16,5,2.9,1,1920,1080,1,2.8,50,256,1024,3,3,17,2878.61
14,219,3,15.6,4,5,2.1,3,1366,768,1,2.2,24,500,0,1,2,41,531.93
1,160,4,13.3,8,8,1.37,3,2560,1600,1,2.0,28,256,0,3,2,48,1688.61
8,105,3,15.6,8,5,2.2,3,1366,768,1,2.5,33,256,0,3,2,45,710.43
2,284,3,15.6,4,2,2.0,1,1920,1080,1,2.5,33,256,0,3,2,45,665.21
6,229,3,14.0,2,5,1.44,3,1366,768,1,1.6,14,32,0,0,2,35,296.31
8,258,3,17.3,8,5,3.4,1,1920,1080,1,2.8,50,256,0,3,3,59,3568.81
0,21,1,15.6,8,2,2.4,1,1920,1080,1,2.5,34,1024,0,1,3,13,843.71
4,150,3,15.6,8,5,1.9,1,1920,1080,1,2.8,36,256,0,3,2,45,1638.63
6,314,5,15.6,8,7,2.0,1,1920,1080,1,2.6,43,256,0,3,3,54,2259.81
8,164,2,11.6,4,5,1.4,3,1366,768,1,1.6,14,128,0,3,2,35,565.25
8,245,3,14.0,8,7,1.7,1,1920,1080,1,2.3,29,180,0,3,2,41,1426.81
4,131,0,15.6,8,5,1.56,1,1920,1080,1,1.8,54,256,0,3,2,80,1248.31
6,175,3,15.6,6,5,2.04,1,1920,1080,0,2.9,5,1024,0,2,0,74,654.49
10,221,3,14.0,4,5,1.4,1,1920,1080,1,1.44,9,32,0,3,2,34,296.31
4,149,3,14.0,8,5,1.64,1,1920,1080,1,2.6,35,256,0,3,2,45,1522.88
14,236,4,14.0,16,5,1.24,1,1920,1080,1,2.7,47,512,0,3,2,45,2219.35
16,163,4,13.3,8,4,1.3,1,1920,1080,1,2.5,33,256,0,3,3,33,1189.88
8,310,0,10.1,4,5,0.69,3,1920,1200,1,1.44,10,64,0,0,2,35,570.01
8,259,4,14.0,12,5,1.4,1,1920,1080,1,2.6,42,256,0,3,2,41,1990.87
4,289,3,15.6,4,2,2.18,3,1366,768,1,2.0,24,1024,0,1,2,41,528.24
10,74,0,11.6,4,5,1.16,1,1920,1080,1,1.1,15,32,0,3,2,37,355.81
0,165,1,15.6,8,5,2.5,1,1920,1080,1,2.5,34,256,0,3,3,13,1006.74
2,283,0,11.6,2,5,1.1,3,1366,768,1,1.1,15,32,0,0,2,37,327.25
8,154,1,15.6,8,5,2.5,1,1920,1080,1,2.8,50,128,1024,3,3,16,1414.91
2,318,3,13.3,8,5,1.4,2,3200,1800,1,2.5,33,256,0,3,2,45,1368.5
6,15,3,15.6,4,5,2.1,3,1366,768,1,1.6,14,500,0,1,2,35,412.93
4,138,0,17.3,12,5,2.77,1,1920,1080,1,1.6,38,1024,0,1,3,3,1188.81
2,215,1,17.3,8,5,3.52,1,1920,1080,1,2.6,43,128,1024,3,3,26,1561.86
8,108,3,17.3,8,4,2.8,1,1920,1080,1,1.8,54,2048,0,1,3,33,1010.31
6,196,3,15.6,4,5,2.07,3,1366,768,1,2.3,25,500,0,1,2,41,773.5
2,292,3,15.6,4,5,2.0,1,1920,1080,1,1.1,15,1024,0,1,2,37,409.36
8,110,3,15.6,6,5,2.2,1,1920,1080,1,2.7,47,256,0,3,3,10,938.91
8,115,1,17.3,32,5,4.6,1,1920,1080,1,2.7,44,256,1024,3,3,17,3168.97
15,273,3,14.0,2,5,1.45,3,1366,768,1,1.44,8,32,0,0,2,35,250.85
4,124,4,13.3,8,5,1.4,1,1920,1080,1,1.8,54,256,0,3,0,61,1136.45
2,317,0,13.3,8,5,1.1,1,1920,1080,1,1.6,38,256,0,3,2,45,1564.85
6,176,3,15.6,6,5,2.18,1,1920,1080,1,2.6,43,1024,0,1,3,26,950.81
2,72,1,17.3,16,5,3.0,1,1920,1080,1,2.8,50,256,1024,3,3,30,1789.76
4,300,0,13.3,8,5,1.24,2,3200,1800,1,1.3,53,512,0,3,2,44,2395.59
14,237,3,14.0,4,5,1.47,1,1920,1080,1,2.3,29,128,0,3,2,41,1314.95
8,241,3,15.6,4,5,2.3,3,1366,768,1,2.0,24,128,0,3,2,41,672.35
