k,coordinates,cluster_id,mse,center,radius
1,"[2.4, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.941470582569858
1,"[1.32, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.951277049463048
1,"[3.2, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.98447198835516
1,"[4.3, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",15.112704257339267
1,"[1.48, 1440.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",374.9363546749367
1,"[1.48, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.944900699897623
1,"[1.2, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.957180776128919
1,"[1.9, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.936306677683088
1,"[3.0, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.969725661140235
1,"[2.2, 768.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",297.0640702420434
1,"[1.91, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.936245943670064
1,"[2.54, 900.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",165.06489736842823
1,"[1.48, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.944900699897623
1,"[2.1, 768.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",297.0640183050948
1,"[2.591, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.947858088094108
1,"[2.2, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.937396987755278
1,"[2.1, 768.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",297.0640183050948
1,"[1.1, 1440.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",374.93706991916645
1,"[2.4, 768.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",297.0642751041762
1,"[2.3, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.939099235556354
1,"[1.7, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.938927095671913
1,"[2.2, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.937396987755278
1,"[1.95, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.936069957314757
1,"[1.13, 1440.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",374.93699945021416
1,"[1.95, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.936069957314757
1,"[1.252, 1504.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",438.93663005781815
1,"[2.2, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.937396987755278
1,"[1.7, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.938927095671913
1,"[1.22, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.956130121451888
1,"[1.24, 1800.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",734.9363885396137
1,"[2.1, 768.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",297.0640183050948
1,"[2.1, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.936364067931676
1,"[3.58, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",15.019788884328584
1,"[1.95, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.936069957314757
1,"[1.3, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.952194286117354
1,"[1.93, 1080.0]",0,39830.79106810795,"[1.995714, 1065.0639999999999]",14.936144560421221
